instance,region,score
m6i.metal,ap-northeast-3,0.05963226360794302
x2iedn.16xlarge,eu-west-1,0.05955819919073029
m7g.12xlarge,ap-south-1,0.05936648002313263
m6idn.8xlarge,eu-north-1,0.059333101956362516
m6idn.4xlarge,ap-northeast-1,0.05866299745557915
r7i.16xlarge,us-east-2,0.05840920938441287
x2iezn.metal,us-east-1,0.058395763040511986
m6idn.16xlarge,ap-south-1,0.05829058927664468
c5d.24xlarge,ap-northeast-1,0.05825664925849105
c7i.48xlarge,eu-central-1,0.05822568344334703
c6i.metal,sa-east-1,0.05795793377340908
r7i.metal-24xl,ca-central-1,0.05793901327086465
i4i.metal,us-east-1,0.057750554174444926
r6idn.24xlarge,ap-southeast-2,0.057641996740044006
r6g.16xlarge,eu-west-3,0.05758384350677855
c5d.24xlarge,ap-northeast-2,0.05747422236218941
m5.24xlarge,eu-west-2,0.05747205915817356
m6idn.16xlarge,us-west-2,0.057291688354681555
d3.8xlarge,ap-northeast-1,0.057228608687213404
i4i.32xlarge,ap-southeast-2,0.057228608687213404
r5ad.24xlarge,eu-central-1,0.057066175108998154
r6a.metal,ap-northeast-1,0.05693437871332048
r7iz.metal-32xl,eu-central-1,0.05690349873696263
c6a.metal,ap-northeast-1,0.05687662935700936
m6in.32xlarge,eu-west-1,0.05682650522902478
d3.2xlarge,ca-central-1,0.056756297604437074
c7a.24xlarge,us-east-2,0.05674696699655054
g6.24xlarge,us-west-2,0.05625908501560235
c6i.24xlarge,ap-northeast-2,0.0561617235028274
m7i.48xlarge,ap-south-1,0.05612940514618086
r8g.24xlarge,us-west-2,0.05607755916690981
m7i.48xlarge,ap-northeast-2,0.05602096067091677
c6g.metal,ap-south-1,0.05586283280775939
g6e.12xlarge,us-east-1,0.055852903096518317
r6idn.32xlarge,us-east-2,0.0556135298329318
m5ad.12xlarge,ap-southeast-2,0.055539960132048545
c6gd.metal,ap-southeast-2,0.05528071806060936
m6gd.4xlarge,ap-northeast-1,0.05527179177335307
m7i-flex.4xlarge,ap-south-1,0.05526185296063473
c6i.metal,us-east-2,0.05504319943837425
r6i.24xlarge,ap-northeast-1,0.055040835800995
r7i.metal-24xl,ap-southeast-2,0.05490566262594834
g6e.48xlarge,us-east-1,0.054825894327434656
c6id.24xlarge,us-west-2,0.054819513863942286
m7a.metal-48xl,eu-north-1,0.054789667799993454
c7i.metal-24xl,ap-northeast-1,0.05436402817458073
r6id.24xlarge,ap-southeast-1,0.054079294960275415
c5n.18xlarge,eu-west-2,0.05385871065563622
m6gd.4xlarge,sa-east-1,0.05380468607407126
trn1.32xlarge,us-east-1,0.053735088375954684
r5ad.16xlarge,us-east-2,0.05351772905724134
m6gd.large,sa-east-1,0.05338746022914998
r5ad.8xlarge,eu-west-3,0.053354621164313845
c5n.18xlarge,ap-northeast-3,0.053311001944171
c7i.metal-24xl,eu-north-1,0.05325541095702818
m5d.24xlarge,ap-southeast-1,0.05307548512453465
m7g.metal,ca-central-1,0.05297598615861343
r7g.metal,us-west-1,0.05275063559054776
r5ad.12xlarge,eu-west-3,0.052698285206401435
r7iz.large,us-east-1,0.05243350450421535
r5b.8xlarge,ap-northeast-2,0.05233498864217238
t4g.medium,ap-northeast-3,0.05200125116163568
r6i.metal,eu-west-2,0.051967857741702095
r5dn.xlarge,eu-west-3,0.05193410404953896
m5dn.24xlarge,us-west-2,0.05188131998893031
c5d.12xlarge,us-west-1,0.05173288956710755
m6in.8xlarge,eu-central-1,0.051722584585460446
c6gn.12xlarge,ap-northeast-2,0.05165104367384727
c5.24xlarge,ap-northeast-2,0.05153149872921219
r6i.32xlarge,eu-north-1,0.051530630225422536
c6id.metal,eu-west-1,0.051485688078127693
c6a.48xlarge,ap-southeast-2,0.051464443989364665
m6in.12xlarge,eu-central-1,0.051412508707439776
r6a.12xlarge,ap-southeast-2,0.0512499619403872
c5ad.24xlarge,us-west-2,0.051204064419170366
m5dn.4xlarge,ap-northeast-1,0.05110944343427605
m5n.metal,us-west-2,0.05109744508659567
m6a.24xlarge,sa-east-1,0.05083233761826558
r5b.12xlarge,ca-central-1,0.050815525246718986
m5n.16xlarge,us-east-1,0.050721930023862424
c6in.8xlarge,ap-southeast-1,0.05068048250379942
r6a.16xlarge,us-west-1,0.05042758538869182
m6idn.16xlarge,eu-north-1,0.05039153442303835
r7iz.8xlarge,us-east-2,0.05039126410972564
r7i.metal-24xl,sa-east-1,0.0502872089414677
gr6.8xlarge,eu-central-1,0.05003449426253439
r6idn.32xlarge,ap-southeast-1,0.04997834479566207
x2idn.16xlarge,us-east-2,0.0499112170349592
r6g.16xlarge,ap-south-1,0.04976628748629239
r7a.32xlarge,eu-central-1,0.04969754914287047
g5.8xlarge,us-west-2,0.04964311221263244
c7g.metal,ap-northeast-2,0.04961156870206422
r6gd.12xlarge,eu-west-1,0.049428814622381176
c6a.metal,ap-south-1,0.04901428237247706
m6id.4xlarge,ca-central-1,0.04895702560942185
c6gn.8xlarge,eu-north-1,0.048954466789828455
r6in.8xlarge,ap-southeast-1,0.04892686126010994
c7i.12xlarge,us-east-2,0.048627810918049005
